casesDif,vacDif,FIPS,location,POPESTIMATE2019,Median_Household_Income_2019
1380.0,0.237,5045,Arkansas-Faulkner,125828,"58,482"
86.0,0.207,5047,Arkansas-Franklin,17737,"45,670"
99.0,0.159,5049,Arkansas-Fulton,12516,"32,926"
848.0,0.21799999999999997,5051,Arkansas-Garland,99472,"45,786"
210.0,0.22900000000000004,5053,Arkansas-Grant,18287,"58,566"
383.0,0.188,5055,Arkansas-Greene,45316,"47,098"
154.0,0.157,5057,Arkansas-Hempstead,21568,"40,867"
96.0,0.235,5061,Arkansas-Howard,13219,"41,427"
311.0,0.187,5063,Arkansas-Independence,37819,"47,903"
84.0,0.15099999999999997,5065,Arkansas-Izard,13620,"40,233"
89.0,0.175,5067,Arkansas-Jackson,16782,"38,636"
667.0,0.185,5069,Arkansas-Jefferson,67137,"40,555"
217.0,0.23600000000000004,5071,Arkansas-Johnson,26596,"40,396"
26.0,0.172,5073,Arkansas-Lafayette,6656,"37,164"
115.0,0.195,5075,Arkansas-Lawrence,16440,"39,604"
70.0,0.179,5077,Arkansas-Lee,8889,"30,421"
105.0,0.167,5079,Arkansas-Lincoln,13012,"44,272"
127.0,0.21500000000000002,5083,Arkansas-Logan,21495,"42,249"
982.0,0.23299999999999998,5085,Arkansas-Lonoke,73648,"62,782"
96.0,0.224,5087,Arkansas-Madison,16519,"48,016"
178.0,0.186,5089,Arkansas-Marion,16645,"38,760"
438.0,0.07,5091,Arkansas-Miller,43370,"50,905"
252.0,0.19300000000000003,5093,Arkansas-Mississippi,40717,"39,990"
62.0,0.282,5095,Arkansas-Monroe,6723,"34,289"
100.0,0.186,5099,Arkansas-Nevada,8205,"36,528"
80.0,0.173,5101,Arkansas-Newton,7712,"37,648"
232.0,0.258,5103,Arkansas-Ouachita,23372,"46,393"
76.0,0.267,5105,Arkansas-Perry,10417,"50,560"
177.0,0.253,5107,Arkansas-Phillips,17769,"31,521"
69.0,0.202,5109,Arkansas-Pike,10705,"44,426"
140.0,0.183,5111,Arkansas-Poinsett,23502,"40,536"
